,mz,rtmin,rtmax,D:/PeakBot_Data/PHM_comparison/peakOnly/mzMLs\05_EB3388_AOH_p_0.mzML,D:/PeakBot_Data/PHM_comparison/peakOnly/mzMLs\06_EB3389_AOH_p_10.mzML,D:/PeakBot_Data/PHM_comparison/peakOnly/mzMLs\07_EB3390_AOH_p_20.mzML,D:/PeakBot_Data/PHM_comparison/peakOnly/mzMLs\08_EB3391_AOH_p_60.mzML,D:/PeakBot_Data/PHM_comparison/peakOnly/mzMLs\16_EB3392_AME_p_0.mzML,D:/PeakBot_Data/PHM_comparison/peakOnly/mzMLs\17_EB3393_AME_p_10.mzML,D:/PeakBot_Data/PHM_comparison/peakOnly/mzMLs\18_EB3394_AME_p_20.mzML,D:/PeakBot_Data/PHM_comparison/peakOnly/mzMLs\19_EB3395_AME_p_60.mzML
2552,527.4332765010153,0.18623201104418413,0.19071576572959456,2640146.1591796875,2621876.9111328125,2875719.1240234375,2448410.1264648438,2294621.2084960938,2256577.7719726562,2299692.003173828,2302049.4721679688
2553,527.4784849560319,0.20303065350289504,0.2218252153056652,4498333.709472656,1384815.4541015625,1221327.9970703125,1264183.5759277344,1750305.5852050781,1473712.8854980469,1133403.27734375,1203110.8041992188
2554,528.3075706756781,0.18351644444443888,0.18491722222222223,339707.146484375,565775.4296875,727211.8803710938,850175.1376953125,305195.70263671875,504800.673828125,615402.5600585938,693231.2612304688
2555,528.3075706756781,0.18490790277778332,0.18641036111111112,571392.1083984375,947769.4013671875,1116542.3681640625,1847628.0908203125,655789.2631835938,993466.7817382812,1348993.646484375,1951778.2998046875
2556,528.3075706756781,0.18639904166667223,0.18799883333333892,125354.6494140625,219793.98608398438,328458.896484375,717926.2919921875,172267.1923828125,248900.66357421875,392788.80029296875,752124.5087890625
2557,528.4098713986231,0.17491740568475192,0.1768673501292019,259243.4111328125,272015.2072753906,238834.85302734375,191309.10668945312,259422.35424804688,229106.24584960938,204450.38549804688,175441.04638671875
2558,528.4296343562579,0.20419432500000498,0.20568459166666167,112047.787109375,106547.07543945312,112881.67358398438,110862.42993164062,155285.07666015625,168713.95068359375,132652.09912109375,124561.43676757812
2559,528.4367441112088,0.1862027822997372,0.18984464211886704,442479.80810546875,452573.5598144531,441439.181640625,379302.3264160156,361785.44482421875,367295.9482421875,354804.455078125,348750.158203125
2560,529.3109668824891,0.1834114368686924,0.18535685353535908,114975.48510742188,166951.62841796875,213760.8974609375,258243.05541992188,89107.76416015625,243593.2998046875,174578.92358398438,196267.36328125
2561,529.3109668824891,0.184885997474753,0.1866207626262682,153728.58544921875,253501.677734375,338080.861328125,533758.2587890625,177238.99853515625,264287.21923828125,385424.94189453125,518150.07177734375
2562,529.3109668824891,0.18636055808081364,0.1878846717171773,31057.240478515625,60231.635986328125,76834.99365234375,196104.44921875,42188.783935546875,79343.74096679688,103822.56201171875,228586.14916992188
