Row.names	mzmed	mzmin	mzmax	rtmed	rtmin	rtmax	npeaks	AME	AOH	ms_level	05_EB3388_AOH_p_0.mzXML	06_EB3389_AOH_p_10.mzXML	07_EB3390_AOH_p_20.mzXML	08_EB3391_AOH_p_60.mzXML	16_EB3392_AME_p_0.mzXML	17_EB3393_AME_p_10.mzXML	18_EB3394_AME_p_20.mzXML	19_EB3395_AME_p_60.mzXML	row ID	annotation network number	best ion	identified by n=	partners	neutral M mass	correlation group ID	auto MS2 verify
FT541	363.228981268355	363.228666731543	363.22905962484	674.83	674.807	675.243	3	0	3	1	2053277.68331877	2214642.49239204	283670.824982908	NA	25932.3642832032	NA	NA	NA	541	NA	NA	NA	NA	NA	19	NA
FT542	363.250258492595	363.249571144646	363.250274627188	612.07	612.058	612.517	5	2	3	1	73970.1627484565	517917.934160476	654269.078152899	907114.839236122	NA	363221.964306646	459249.409049484	4876.11070029298	542	NA	NA	NA	NA	NA	41	NA
FT543	363.309918563851	363.309313839541	363.310247569586	667.361	667.344	667.812	7	3	4	1	260857.583657226	325355.97422754	314141.608369358	306593.120766276	12550.5251866803	231526.239130024	261768.545200195	257675.539220046	543	103	[M+H]+	5	601;624;470;460	362.299008160661	40	NA
FT544	364.232229403329	364.23207507943	364.232383727228	675.025	674.807	675.243	2	0	2	1	511320.458859379	526055.456342008	58247.3878609283	5734.89404993939	1132.5549894767	15004.9238541428	10703.941545789	13808.6703713126	544	NA	NA	NA	NA	NA	19	NA
FT545	365.20574673974	365.205121480792	365.205943344428	623.49	623.466	623.922	5	2	3	1	6655.75633374027	286047.795725093	346478.702328999	560183.898745187	6222.12048339847	7132.24354081362	235242.045985246	398329.402522793	545	NA	NA	NA	NA	NA	41	NA
FT546	365.265245565971	365.264825894921	365.265643439345	707.073	706.399	707.304	8	4	4	1	275841.357187499	273392.836393224	234568.75062023	228095.190553716	328672.273017795	280854.151347656	279690.899985351	261996.513374509	546	121	[M+2Na-H]+	7	41;452;518;626;523;293	320.297898707914	41	NA
FT547	366.371886930487	366.371367827536	366.372414823167	737.1185	736.685	737.14	8	4	4	1	2484167.94308127	1751577.51059684	1201597.65830233	1151938.40173517	1943399.32825934	1429979.41708751	1392097.15885714	1439592.96352266	547	NA	NA	NA	NA	NA	41	NA
FT548	367.155852069662	367.155263033673	367.156410823621	633.573	633.555	634.001	7	3	4	1	260351.944824222	638518.234587101	1106372.39614132	2148332.09161817	107044.245369519	590194.305873044	962869.590121083	1766796.802111	548	NA	NA	NA	NA	NA	11	NA
FT549	367.224018519572	367.223858106814	367.22416019074	630.939	630.926	630.949	3	0	3	1	9507.9277522225	222897.068554683	310967.346821729	375329.983115628	1545.41359320279	3037.90940290178	10613.7081427633	1429.47208752862	549	NA	NA	NA	NA	NA	41	NA
FT550	367.281025502296	367.280727617735	367.281312940803	701.133	696.312	701.138	5	1	3	1	409748.895896486	262415.700360352	168648.031476565	251028.794288774	288941.615249993	18126.3207971644	83510.6240461518	62288.70678465	550	122	[M+H+HCOOH]+	2	517	320.257316077786	41	NA
FT551	367.334890327452	367.334554484607	367.335449000293	742.599	742.377	742.838	8	4	4	1	1004971.58590908	670769.702440099	461624.132979057	495179.032789059	651393.857936796	503735.999690629	439899.739071867	468244.864560724	551	NA	NA	NA	NA	NA	41	NA
FT552	367.375295682663	367.374766932587	367.375790720557	737.1235	736.665	737.14	8	4	4	1	601136.960763283	434529.181775392	269456.190732421	240459.007837061	505110.801085227	363001.112074993	312728.433282992	360090.098458596	552	NA	NA	NA	NA	NA	41	NA
FT553	369.156165769451	369.155489116549	369.156358934975	633.572	633.143	633.573	3	1	2	1	13664.4591708008	145008.438041015	242204.866274954	488274.187138674	53442.2422815429	142047.114387109	188674.048887793	389156.252809661	553	NA	NA	NA	NA	NA	11	NA
FT554	369.171356140637	369.170768356261	369.171822741834	651.3435	650.686	651.571	6	3	3	1	NA	265078.744499998	611226.797670301	1338806.58401044	35644.3293203125	222813.509142857	472956.786676173	1022619.01807161	554	NA	NA	NA	NA	NA	10	NA
FT555	369.172021377843	369.171269737661	369.172040508963	594.528	590.13	594.947	5	1	3	1	44496.718971621	241578.35319726	632758.950412623	856919.077667973	2007.97319588498	1495.77561258953	318215.717529948	NA	555	NA	NA	NA	NA	NA	14	NA
FT556	369.239175147003	369.238639389204	369.239844888443	641.463	641.019	641.484	8	4	4	1	265911.52434082	885835.488323871	1074373.49834166	1321468.6113672	282854.408506944	427855.899161468	557146.504406258	789804.40837676	556	NA	NA	NA	NA	NA	41	NA
FT557	369.296588039055	369.296339093781	369.296908275714	687.9855	687.969	688.412	8	4	4	1	3644956.76810993	3525615.94605426	3943403.95208161	4089433.82057513	3497976.42326976	4169449.83646985	4154702.72031464	4057448.60853515	557	NA	NA	NA	NA	NA	41	NA
FT558	370.242848029096	370.242759762799	370.242936295393	641.037	641.032	641.042	2	0	2	1	52717.2913222655	158298.617496259	213298.439354002	288715.925280384	30611.9845262973	17118.7676477141	6749.21078157695	6737.46467346189	558	NA	NA	NA	NA	NA	41	NA
